Value,Count,hierarchy,class,subclass,formation,formation,division k,division c,Division,Mgkey,Mg code,Mg name fi,Macrogroup,Mapped,Red,Green,Blue,Opacity
118,34046137.0,2.A.1.Fg,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.1,2.A.1,D129,2.A.1.Fg,2.A.1.Fg Eastern & Southern African Dry Savanna & Woodland,MA118,2.A.1.Fg.3,2.A.1.Fg.3-Dry Acacia - Terminalia - Combretum Woodland & Savanna,Dry Acacia - Terminalia - Combretum Woodland & Savanna,1,1.0,0.854902,0.498039,1.0
119,12328504.0,2.A.1.Fg,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.1,2.A.1,D129,2.A.1.Fg,2.A.1.Fg Eastern & Southern African Dry Savanna & Woodland,MA119,2.A.1.Fg.4,2.A.1.Fg.4-Southern Kalahari Dunefield Woodland & Savanna,Southern Kalahari Dunefield Woodland & Savanna,1,1.0,0.843137,0.482353,1.0
120,45011382.0,2.A.1.Fg,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.1,2.A.1,D129,2.A.1.Fg,2.A.1.Fg Eastern & Southern African Dry Savanna & Woodland,MA120,2.A.1.Fg.5,2.A.1.Fg.5-Kalahari Camel Thorn Woodland & Savanna,Kalahari Camel Thorn Woodland & Savanna,1,0.964706,0.894118,0.482353,1.0
121,12925543.0,2.A.1.Fh,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.1,2.A.1,D130,2.A.1.Fh,2.A.1.Fh Mopane Savanna,MA121,2.A.1.Fh.1,2.A.1.Fh.1-Limpopo Mopane,Limpopo Mopane,1,1.0,0.847059,0.498039,1.0
122,62785497.0,2.A.1.Fh,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.1,2.A.1,D130,2.A.1.Fh,2.A.1.Fh Mopane Savanna,MA122,2.A.1.Fh.2,2.A.1.Fh.2-Zambezi Mopane,Zambezi Mopane,1,0.952941,0.870588,0.45098,1.0
123,29597081.0,2.A.1.Fh,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.1,2.A.1,D130,2.A.1.Fh,2.A.1.Fh Mopane Savanna,MA123,2.A.1.Fh.3,2.A.1.Fh.3-Namibia-Angola Mopane,Namibia-Angola Mopane,1,0.972549,0.768627,0.552941,1.0
126,6466056.0,2.A.1.Fp,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.1,2.A.1,D166,2.A.1.Fp,2.A.1.Fp Malagasy Dry Forest & Scrubland,MA126,2.A.1.Fp.1,2.A.1.Fp.1-Madagascar Plateau Woodland & Grassland,Madagascar Plateau Woodland & Grassland,1,1.0,0.847059,0.443137,1.0
131,51637306.0,2.A.1.Fi,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.1,2.A.1,D131,2.A.1.Fi,2.A.1.Fi Sudano-Sahelian Dry Savanna,MA131,2.A.1.Fi.1,2.A.1.Fi.1-Sudano-Sahelian Herbaceous Savanna,Sudano-Sahelian Herbaceous Savanna,1,0.901961,0.901961,0.0,1.0
132,63227569.0,2.A.1.Fi,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.1,2.A.1,D131,2.A.1.Fi,2.A.1.Fi Sudano-Sahelian Dry Savanna,MA132,2.A.1.Fi.2,2.A.1.Fi.2-Sudano-Sahelian Shrub Savanna,Sudano-Sahelian Shrub Savanna,1,0.843137,0.843137,0.619608,1.0
133,159826171.0,2.A.1.Fi,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.1,2.A.1,D131,2.A.1.Fi,2.A.1.Fi Sudano-Sahelian Dry Savanna,MA133,2.A.1.Fi.3,2.A.1.Fi.3-Sudano-Sahelian Treed Savanna,Sudano-Sahelian Treed Savanna,1,0.670588,0.803922,0.4,1.0
136,640111.0,2.A.2.Fj,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.2,2.A.2,D168,2.A.2.Fj,2.A.2.Fj Malagasy Montane Thicket & Sclerophyllous Shrubland,MA136,2.A.2.Fj.1,2.A.2.Fj.1-Malagasy Montane Scrub,Malagasy Montane Scrub,1,0.803922,0.803922,0.4,1.0
142,878901.0,2.A.2.Fe,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.2,2.A.2,D138,2.A.2.Fe,2.A.2.Fe African Montane Grassland & Shrubland,MA142,2.A.2.Fe.2,2.A.2.Fe.2-Afro-Alpine Moorland,Afro-Alpine Moorland,1,0.729412,0.823529,0.462745,1.0
143,7503297.0,2.A.2.Fe,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.2,2.A.2,D138,2.A.2.Fe,2.A.2.Fe African Montane Grassland & Shrubland,MA143,2.A.2.Fe.3,2.A.2.Fe.3-Afromontane Grassland,Afromontane Grassland,1,0.772549,0.647059,0.439216,1.0
146,4735663.0,2.B.1.Fh,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.1,2.B.1,D107,2.B.1.Fh,2.B.1.Fh South African Cape Mediterranean Scrub,MA146,2.B.1.Fh.1,2.B.1.Fh.1-Fynbos,Fynbos,1,0.909804,0.752941,1.0,1.0
